objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,hiddennotes
coll-msu-012,A85-120_FF05-1.pdf,,,"Letter, John A. Hannah to D. W. Colvard, 3/19/1963",John A. Hannah,1963-03-19,"President of Michigan State University, John Hannah, writes to commend D. W. Colvard's administrative prowess regarding the decision to participate in the 1963 NCAA basketball tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,"Starkville, MS",,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-013,A85-120_FF04-2.pdf,,,"Letter, Department of English to D. W. Colvard, 3/8/1963",Robert Holland,1963-03-08,"Representing the Department of English, Department head Robert Holland notifies D. W. Colvard that the department has supported and endorsed his decision to participate in the 1963 NCAA basketball tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,"Starkville, MS",,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-014,A85-120_FF04-4.pdf,,,"Letter, Paul Millsaps to Dean and Martha Colvard, 3/8/1963",Paul Millsaps,1963-03-08,"Paul Millsaps, Owner of East Mississippi Motor Company, writes to commend D. W. Colvard's decision to participate in the 1963 NCAA basketball tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-015,Pro17.pdf,,,"Letter, John G. Laetz to D. W. Colvard",John G. Laetz,1963-03-19,Business Manager of the Michigan State University Department of Intercollegiate Athletics expresses admiration for MSU Basketball coach Babe McCarthy and the basketball team's behavior at the 1963 NCAA tournament.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-016,A85-120_FF04-5.pdf,,,"Letter, Harry Williamson to D. W. Colvard, 3/9/1963",Harry Williamson,1963-03-09,Harry Williamson writes to approve of D. W. Colvard's decision to participate in the 1963 NCAA basketball tournament.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-017,A85-120_FF04-3.pdf,,,"Letter, Franklin B. Howard to D. W. Colvard, 3/8/1963",Franklin B. Howard,1963-03-08,Franklin Howard congratulates D. W. Colvard's decision to partcipate in the 1963 NCAA basketball tournament.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-018,A85-120_FF04-1.pdf,,,"Handwritten Letter, Robert Holland to D. W. Colvard, no date",Robert Holland,,Robert Holland writes a personal note of admiration to D. W. Colvard.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-019,A85-120_FF02-4.pdf,,,"Letter, John E. Sutphin to D. W. Colvard, 3/4/1963",John E. Sutpin,1963-03-04,"John Sutphin, General Secretary of the YMCA, appreciates D. W. Colvard's decision to participate in the 1963 NCAA basketball tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-020,A85-120_FF01-8.pdf,,,"Letter, Allen Pugh to D. W. Colvard, 3/6/1963",Allen Pugh,1963-03-06,Allen Pugh of the Mississippi House of Representatives approves the University's decision to allow the team to play in the NCAA tournament.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-021,A85-120_FF02-1.pdf,,,"Letter, Dean's Council of the School of Business and Industry to D. W. Colvard, 3/4/1963","W. W. Littlejohn; J. F. Curry; S. E. Trotter; John W. Darr; John A. Davis; R. A. White; W. C. Flewellen, Jr.",1963-03-04,Dean and heads of departments within the School of Business and Industry support D.W. Colvard's decision to participate in the 1963 NCAA Basketball tournament,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-022,A85-120_FF02-3.pdf,,,"Letter, Jim Puryear to D. W. Colvard, 3/4/1963",Jim Puryear,1963-03-04,"Jim Puryear, Associate Secretary of the YMCA, comends D.W. Colvard's decision to participate in the 1963 NCAA basketball tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-023,A85-120_FF02-2.pdf,,,"Letter, Billups H. Allen to D. W. Colvard, 3/4/1963",Billups H. Allen,1963-03-04,Druggist Bill Allen of Allen Drug Store expresses his gratitude for D. W. Colvard's decision to participate in the 1963 NCAA basketball tournament.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-024,A85-120_FF01-7.pdf,,,"Letter, William Winter to D. W. Colvard, 3/4/1963",William Winter,1963-03-04,"State Tax Collector, William Winter, writes D. W. Colvard to express his approval of MSU in the NCAA tournament participation",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-025,A85-120_FF01-6.pdf,,,"Letter, Julien R. Tatum to D. W. Colvard, 3/5/1963",Julien R. Tatum,1963-03-05,"Julien Tatum, Chairman of the Department of Sociology and Anthropology at the University of Mississippi, congratulates Dr. Colvard on ""taking the stand"" to play in the NCAA tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-026,A85-120_FF01-3.pdf,,,"Letter, Cinclair May to D. W. Colvard, 3/7/1963",Cinclair May,1963-03-07,President of the Pi Kappa Alpha Fraternity at MSU endorses the university's decision to participate in the NCAA tournament,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-027,A85-120_FF01-2.pdf,,,"Letter, Horace Merideth to D. W. Colvard, 3/5/1963",Horace Merideth,1963-03-05,"Horace Merideth, Washington County member of the Mississippi House of Representatives, commends the MSU basketball team for participating in the NCAA tournament",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-029,A85-120_FF08-6.pdf,,,"Letter, Rebel Underground to D. W. Colvard (1 of 2)",Rebel Underground,,"Open letter from the Rebel Underground, an anonymous group, that decries D.W. Colvard's decisions to participate in the 1963 NCAA basketball tournament (1 of 2)",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-030,A85-120_FF08-4.pdf,,,"Editorial, T. M. Hederman of the Clarion Ledger, 3/6/1963",T. M. Hederman,1963-03-06,"Editorial urging the Institutions of Higher Learning to consider how MSU's participation in the NCAA tournament ""threaten[s]...the traditional way of life"" in Mississippi",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; newspaper,application/pdf,,,,
coll-msu-031,A85-120_FF09-1.pdf,,,"Letter, ""Go-getters"" to D. W. Colvard",Go-Getters,1963-03,"Letter from anonymous group called the ""Go-getters"" expresses their disapproval of MSU's participation and subsequent loss in the 1963 NCAA basketball tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-032,A85-120_FF09-2.pdf,,,"Letter, Rebel Underground to D. W. Colvard (2 of 2)",Rebel Underground,,"Open letter from the Rebel Underground, an anonymous group, that laments D. W. Colvard's decision to participate in the 1963 NCAA basketball tournament (2 of 2)",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-033,A85-120_FF09-3.pdf,,,"Clipping, State deserved this",Unknown,1963-03-17,"Newspaper clipping mailed to D. W. Colvard from Jackson, MS regarding the loss of the 1963 MSU men's basketball team to Loyola in the NCAA tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,,application/pdf,,,,
coll-msu-034,A85-120_FF09-4.pdf,,,"Letter, unknown to D. W. Colvard",Unknown,,"Letter discouraging integration at MSU, sent to D. W. Colvard",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-035,A85-120_FF09-3.pdf,,,"Letter, T. E. Leggett to D. W. Colvard",T. E. Leggett,1963-03-04,"T. E. Leggett, Principal of Dublin Attendance Center in Dublin, Mississippi, writes D. W. Colvard to urge him not to allow MSU's participation in the 1963 NCAA basketball tournament",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-036,A85-120_FF10-3.pdf,,,"Letter, J. B. Collier to D. W. Colvard",,1963-03-04,Letter from J. B. Collier to D. W. Colvard regarding his decision to participate in the 1963 NCAA basketball tournament.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-037,A85-120_FF10-2.pdf,,,"Letter, Mr. and Mrs. Carroll Sojourner to D. W. Colvard",Mr. and Mrs. Carroll Sojourner,1963-03-03,"Letter from parents of perspective MSU students to D. W. Colvard, urging him not to allow participation in the 1963 NCAA basketball tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,"Natchez, MS",,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-038,A85-120_FF10-4.pdf,,,"Note, Phone message from Walter Hester to D. W. Colvard",Linda,1963-03-04,Record of a phone message from Walter Hester about his disappointment in MSU's participation in the 1963 NCAA basketball tournament.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text,application/pdf,,,,
coll-msu-039,A85-120_FF10-5.pdf,,,"Letter, Luther T. Newman to D. W. Colvard",Luther T. Newman,1963-03-02,Letter from Luther Newman to D. W. Colvard expressing disappointment at Colvard's decision to allow MSU to participate in the 1963 NCAA basketball tournament,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-040,A85-120_FF15-1.pdf,,,"Letter, W. E. Strange to D. W. Colvard",W. E. Strange,1963-03-04,"Letter from W. E. Strange, department chair of Mathematics at Mississippi College, writes about his disappointment in D. W. Colvard's decision to participate in the 1963 NCAA basketball tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-041,A85-120_FF15-2.pdf,,,"Letter, J. K. Gillis to D. W. Colvard",J. K. Gillis,1963-03-03,Letter and newspaper clipping claiming the integrated basketball game of the 1963 NCAA tournament should be a point of shame.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-042,A85-120_FF15-3.pdf,,,"Letter, Joseph V. Pace, Jr. to the editor of the Jackson Daily News","Joseph V. Pace, Jr.",1963-03-06,Letter (cc to D. W. Colvard) from Joseph Pace to the editor of the Jackson Daily News expressing disagreement with many who have expressed approval of the decision to participate in the 1963 NCAA basketball tournament,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-043,A85-120_FF15-4.pdf,,,I have contributed $1.00 in your name,Anonymous,1963,"Card clipped to a spoof NAACP flyer, send to D. W. Colvard after making his decision to participate in the 1963 NCAA basketball tournament",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; letter,application/pdf,,,,
coll-msu-044,data-relevant-to-court-order.pdf,,,Information and data relevant to court order requiring the desegregation of the Starkville Public Schools,B. Hal Buchanan,1969,"Information about the process of integrating Starkville's public schools in the late 1960s, compiled by Separate School Districtsuperintendent B. Hal Buchanan.","School integration; Segregation; Civil rights; African Americans; Conner, Douglas L.; Starkville (Miss.)",,,,"Douglas Conner Papers, Manuscript Collections, Mississippi State University Libraries",,Text,application/pdf,,,,
coll-msu-045,RichardHolmesVF_1966_Reveille.pdf,,,"Clipping, Richard Holmes in the 1965-1966 Yearbook",Mississippi State University,1966,Photograph of Richard Holmes in the 1965-66 Reveille yearbook,"Civil rights; Mississippi; Starkville (Miss.); Holmes, Richard.",,,,"Reveille Digital Archive, University Archives, Mississippi State University Libraries",,text; newspaper,application/pdf,,,,
coll-msu-046,naacp-pamphlet.jpg,,,NAACP pamphlet,National Association for the Advancement of Colored People,,Membership pamphlet for the NAACP urging people to join.,Civil rights; Mississippi; Starkville (Miss.),,,,"Dorothy Bishop Papers, Manuscript Collections, Mississippi State University Libraries",,Image,image/jpeg,,,,
coll-msu-047,DorothyBishop-box1file1-2.pdf,,,NAACP Letter on Segregation,National Association for the Advancement of Colored People,1993-05-26,"Press release voicing dissent and outrage at various white school employees for withdrawing their students from Starkville Public Schools and change enrollment to the Starkville Academy, a racially segregated school for whites only.",Civil rights; Mississippi; Starkville (Miss.),"Starkville, MS",,,,,Text; letter,,,,,
coll-msu-048,NAACP-member-1994.pdf,,,"NAACP membership roster, 1994",,1994,"Membership roster of the Oktibbeha County NAACP members, organizations, and churches, 1994",Civil rights; Mississippi; Starkville (Miss.),,,,"Dorothy Bishop Papers, Manuscript Collections, Mississippi State University Libraries",,Text,application/pdf,,,,
coll-msu-049,DorothyBishop-box1file10-LindleyComplaint.pdf,,,How Low Do You Go?,Dorothy Bishop,1998,Undated letter from Dorothy Bishop complaining about the racially insenstive behavior of police officer David Lindley,Civil rights; Mississippi; Starkville (Miss.),"Starkville, MS",,,"Dorothy Bishop Papers, Manuscript Collections, Mississippi State University Libraries",,Text; letter,application/pdf,,,,
coll-msu-050,DorothyBishop-box1-file2-1.pdf,,,"Letter, Dorothy Bishop to Community Churches, 11/14/1997",Dorothy Bishop,1997-11-14,"Letter from NAACP Chapter President, Dorothy Bishop, requesting financial support ",Civil rights; Mississippi; Starkville (Miss.),,,,"Dorothy Bishop Papers, Manuscript Collections, Mississippi State University Libraries",,Text; letter,application/pdf,,,,
coll-msu-051,DorothyBishop-box1file2-2.pdf,,,"Letter, NAACP to Editor of the Starkville Daily News, 2/19/1998",National Association for the Advancement of Colored People,1998-02-19,NAACP complaint regarding police officer David Lindley,Civil rights; Mississippi; Starkville (Miss.),"Starkville, MS",,,"Dorothy Bishop Papers, Manuscript Collections, Mississippi State University Libraries",,Text; letter,application/pdf,,,,
coll-msu-053,No_Black_dollars_no_Black_workers.jpg,,,"No Black dollars, no Black workers",National Association for the Advancement of Colored People,,Text for sign urging boycott of Starkville businesses that support segregation.,Civil rights; Mississippi; Starkville (Miss.),"Starkville, MS",,,"Douglas Conner Papers, Manuscript Collections, Mississippi State University Libraries",,Image,image/jpeg,,,,find date
coll-msu-054,RichardHolmesVF_MissPressSentinel_FirstNegroEnters.pdf,,,First Negro Enters Mississippi State U,Mississippi Press Sentinel,1965-07-20,"Newspaper article chronicling Richard Holmes' registration for classes at Mississippi State University, making him the first African American to enroll.",Civil rights; Mississippi; Starkville (Miss.),,,,"Richard Holmes Vertical File, University Archives, Mississippi State University Libraries",,Text; newspaper,application/pdf,,,,
coll-msu-055,Box6_TombigbeeCouncilHumanRelations-Minutes_1972.pdf,,,Meeting of Tombigbee Council on Human Relations,Tombigbee Council on Human Relations,1972-04-07,"Report of a meeting of the Tombigbee Council on Human Relations, regarding the benefit of establishing an Oktibbeha County chapter and bringing more white citizens into the fight for integration and equality.",Civil rights; Mississippi; Starkville (Miss.),,,,"Box 6, Tombigbee Council on Human Relations, Manuscript Collections, Mississippi State University Libraries",,Text,application/pdf,,,,
coll-msu-056,okt-county-naacp-letter-to-superintendent.pdf,,,An open letter to Superintendent and School Boards of the Starkville Municipal Separate School District and of Oktibbeha County,Douglas Conner,1969,Handwritten Draft of school desegregation position of the Oktibbeha County NAACP,"Civil rights; Mississippi; Starkville (Miss.); Conner, Douglas L.",,,,"Douglas Conner Papers, Manuscript Collections, Mississippi State University Libraries",,Text; letter,application/pdf,,,,
coll-msu-057,Letter_to_John_C_Stennis_09.jpg,,,Letter to John C. Stennis,unknown,1969-09-04,Letter to Senator John Stennis thanking him for supporting the delay in desegregating schools and asking him to approve the Whitten amendments.,Civil rights; Mississippi; Starkville (Miss.); Education - Mississippi;Integration in Education,,,,"Congressional and Political Research Center, Mississippi State University Libraries",,Text; letter,image/jpeg,,,,jpg too small to read. Cannot find another file. Delete? Check timeline for another image
coll-msu-058,Reflector_031070_1_JudgeIssuesRestrainingOrderAgainstTrustrees.pdf,,,Judge Issues Restraining Order Against Trustees,,,"Young Democrats filed a restraining order against the Mississippi Board of Trustees of Institutions of Higher Learning, allowing Charles Evers to speak on campus, in spite of a speaker ban.",Civil rights; Mississippi; Starkville (Miss.),,,,"Reflector, University Archives, Mississippi State University Libraries",,Text; newspaper,application/pdf,,,,
coll-msu-059,Police-Arrest-150-marchers_SDN_060570.jpg,,,Police Arrest 150 Marchers in City,,,150 to 200 African American protest marchers arrested in Starkville for obstructing public streets and sidewalks,Civil rights; Mississippi; Starkville (Miss.),,,,"Starkville Daily News, Mississippiana, Special Collections, Mississippi State University Libraries",,Text; newspaper,image/jpeg,,,,
coll-msu-060,Marches-ordered_SDN_061270.jpg,,,Marches Ordered Ended in City Pending Hearing,,1970-06-12,Judge Orma Smith orders arrested protesters released and marches halted until injunction heard.,Civil rights; Mississippi; Starkville (Miss.),,,,"Starkville Daily News, Mississippiana, Special Collections, Mississippi State University Libraries",,Text; newspaper,image/jpeg,,,,
coll-msu-061,Douglas_Conner_Papers_Box01_FF11_013.pdf,,,"Requests, Suggestions, and Statements",Starkville Caucus of the Oktibbeha County Branch of the NAACP,1973-07-17,"Outlines requests in the categories of employment, recreation, education, voting registration, and other manners of civic engagement from the Oktibbeha County NAACP members to the Board of Aldermen",Civil rights; Mississippi; Starkville (Miss.),,,,"Douglas Conner Papers, Manuscript Collections, Mississippi State University Libraries",,Text,application/pdf,,,,
oh-001,,dbYqc0n3m7Q,,Bobby Bardwell Interview,Bobby Bardwell,2015,"Bobby Bardwell shares about being an African American growing up in segregated Starkville, his involvement in the Civil Rights Movement, working with the Milwaukee Journal, as well as what he has observed since he retired and returned to Starkville in the 1970s.",Civil Rights Protests; African American Community; African American--Voter Registration; Segregation in Education; Social Segregation,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-002,,S8fGolnvbVs,,Boyd Gatlin Interview,Boyd Gatlin,2016,"Boyd Gatlin discusses his memories of being a student at Mississippi State University from 1963-1967, including his editorial work at the college newspaper, The Reflector, and his return to MSU as a staff and faculty member, following his graduate work elsewhere.","Education--Mississippi;Education, Higher;Mississippi State University;College student newspapers and journalism;Mississippi State University--Presidents",,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-003,,zVx8X5xPWZY,,Chris Taylor Interview,Chris Taylor,,"Chris Taylor discusses his experiences participating in protests in the 60Ã¢â‚¬â„¢s, as well as his experiences as an African American serviceman and his current position as the president of the Oktibbeha County chapter of the NAACP.",African American;Servicemen; African American Businesses; Social Segregation,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-004,,dtGi2WopliU,,Chuck Ware Interview,"Colonel Charles ""Chuck"" Ware",2015-03-03,"Chuck Ware recalls his experiences with growing up in Starkville, Mississippi. He discusses his memories of attending school and church in a segregated neighborhood, the desegregation of Henderson High School, attending the University of Mississippi in the late 60s and early 70s, and his involvement and promotions in the United States Army. Ware also discusses his return to Mississippi after retiring from the military, and reflects on the similarities to and differences from present-day Starkville and the Starkville he grew up in.",African American Neighborhoods;segregation;desegregation;education;United States Army;African Americans in Military Service,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-005,,CIBHcjnObsc,,Earlie Fleming Interview,Earlie Fleming,2015,Earlie Fleming discusses her life in Mississippi and her experiences as a teacher in StarkvilleÃ¢â‚¬â„¢s segregated and later integrated public schools.,African American Children;Education;African American Students;African American Families;African American Extended Family;African American Community; African American Religious Life;Segregation in Education;African American Education;African American Schools;African American High Schools;African American High School Students;African American Children;Books and Reading;African American Teachers;Education-Mississippi;Civil Rights;Public Opinion;Civil Rights-Mississippi-Starkville,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-006,,T8g_-dAeoN4,,Gail Peyton Interview,Gail Peyton,2016,"Gail Peyton discusses her life as an African American who grew up in West Point, Mississippi, attended Mary Holmes and Tougaloo Colleges, and then went to library school at the University of Wisconsin. She also talks about her experiences living in Wisconsin and Chicago, her work as a librarian at various institutions, and her return to West Point and current position at Mississippi State University.",African American Community;African American Colleges;African American College Students;African American Teachers;Education--Mississippi;African American Families;Civil Rights;Public Opinion;African American Owned Business;Libraries;Librarians,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-007,,eQf1qc92mzY,,Joyce Allen Interview,Joyce Allen,,,,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-008,,tUagguieBWM,,Richard Holmes Interview,Richard Holmes,2015,"Richard Holmes shares about his childhood, integration of Mississippi State University, and the social changes of Starkville throughout his life.",African American Children;Education; African American Businesspeople; African American Community; African American Religious Life; Segregation in Education; African American Education; African American Schools; African American High Schools; African American High School Students; African American Children;Books and Reading; African American Teachers; Education-Miss; African American Students;African American Families; African American Extended Family; African American Doctors,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-009,,Z4OO3IGGR_U,,Charles and Susie Lowery Interview,Charles Lowery;Susie Lowery,2015,Charles and Susan Lowery reflect on how they came to Starkville and their work in the community to promote integration by supporting the public schools. Charles also reflects on his experiences as a faculty member & administrator at Mississippi State University.,Education--Public Schools;Civil Rights--Public Opinion;Civil Rights--Southern States;Civil Rights Movements--Southern States,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
oh-010,,0WoIUyBJW7I,,Cattie Taylor Interview,Cattie Taylor,2015,"Cattie Taylor discusses her life experiences in growing up in Kentucky, and then as an adult in Tennessee and Mississippi. She recalls her husband, pharmacist, Coleman Taylor, who was a Starkville pharmacist, and her thirty-three-year career as a librarian at Starkville High School.",Starkville; Family History; Education; Integration;Librarians;High School,,,,Starkville Civil Rights Project,,Image; MovingImage,video/mp4,,,,
